,followers,genres,href,id,name,popularity,uri
0,"{'href': None, 'total': 2386591}","['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",https://api.spotify.com/v1/artists/2wIVse2owClT7go1WT98tk,2wIVse2owClT7go1WT98tk,Missy Elliott,70,spotify:artist:2wIVse2owClT7go1WT98tk
1,"{'href': None, 'total': 13836642}","['dance pop', 'pop']",https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,26dSoYclwsYLMAKD3tpOr4,Britney Spears,80,spotify:artist:26dSoYclwsYLMAKD3tpOr4
2,"{'href': None, 'total': 36504075}","['pop', 'r&b']",https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,Beyoncé,87,spotify:artist:6vWDO969PvNqNYHIOW5v0m
3,"{'href': None, 'total': 13667356}","['dance pop', 'pop']",https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,31TPClRtHm23RisEBtV3X7,Justin Timberlake,82,spotify:artist:31TPClRtHm23RisEBtV3X7
4,"{'href': None, 'total': 2099287}","['pop rap', 'reggae fusion']",https://api.spotify.com/v1/artists/5EvFsr3kj42KNv97ZEnqij,5EvFsr3kj42KNv97ZEnqij,Shaggy,71,spotify:artist:5EvFsr3kj42KNv97ZEnqij
5,"{'href': None, 'total': 10974183}","['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj,23zg3TcAtWQy7J6upgbUnj,USHER,84,spotify:artist:23zg3TcAtWQy7J6upgbUnj
6,"{'href': None, 'total': 5502730}","['dance pop', 'girl group', 'pop']",https://api.spotify.com/v1/artists/6wPhSqRtPu1UhRCDX5yaDJ,6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,68,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ
7,"{'href': None, 'total': 6932798}","['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/1Y8cdNmUJH7yBTd9yOvr5i,1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,71,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i
8,"{'href': None, 'total': 2518660}","['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",https://api.spotify.com/v1/artists/1G9G7WwrXka3Z1r7aIDjI7,1G9G7WwrXka3Z1r7aIDjI7,Outkast,74,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7
9,"{'href': None, 'total': 3717288}","['canadian latin', 'canadian pop', 'dance pop', 'pop']",https://api.spotify.com/v1/artists/2jw70GZXlAI8QzWeY2bgRc,2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,76,spotify:artist:2jw70GZXlAI8QzWeY2bgRc
10,"{'href': None, 'total': 990733}","['dance pop', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/2Hjj68yyUPiC0HKEOigcEp,2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,58,spotify:artist:2Hjj68yyUPiC0HKEOigcEp
11,"{'href': None, 'total': 1536747}","['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/27FGXRNruFoOdf1vP8dqcH,27FGXRNruFoOdf1vP8dqcH,Cassie,63,spotify:artist:27FGXRNruFoOdf1vP8dqcH
12,"{'href': None, 'total': 2820235}","['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",https://api.spotify.com/v1/artists/0f5nVCcR06GX8Qikz0COtT,0f5nVCcR06GX8Qikz0COtT,Omarion,60,spotify:artist:0f5nVCcR06GX8Qikz0COtT
13,"{'href': None, 'total': 10574655}","['canadian pop', 'candy pop', 'dance pop', 'pop']",https://api.spotify.com/v1/artists/0p4nmQO2msCgU4IF37Wi3j,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,75,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
14,"{'href': None, 'total': 20955897}","['r&b', 'rap']",https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,86,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
15,"{'href': None, 'total': 1121030}","['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']",https://api.spotify.com/v1/artists/4TKTii6gnOnUXQHyuo9JaD,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,66,spotify:artist:4TKTii6gnOnUXQHyuo9JaD
16,"{'href': None, 'total': 7899344}","['dance pop', 'pop', 'pop rap']",https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,79,spotify:artist:1yxSLGMDHlW21z4YXirZDS
17,"{'href': None, 'total': 1107832}","['neon pop punk', 'pop punk', 'pop rock', 'texas pop punk']",https://api.spotify.com/v1/artists/5ND0mGcL9SKSjWIjPd0xIb,5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup,60,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb
18,"{'href': None, 'total': 236764}","['boy band', 'neon pop punk', 'pixie']",https://api.spotify.com/v1/artists/01lz5VBfkMFDteSA9pKJuP,01lz5VBfkMFDteSA9pKJuP,The Click Five,47,spotify:artist:01lz5VBfkMFDteSA9pKJuP
19,"{'href': None, 'total': 7418251}","['boy band', 'pop']",https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,75,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD
20,"{'href': None, 'total': 84966}","['hip pop', 'trap queen']",https://api.spotify.com/v1/artists/5qK5bOC6wLtuLhG5KvU17c,5qK5bOC6wLtuLhG5KvU17c,Lil Mama,47,spotify:artist:5qK5bOC6wLtuLhG5KvU17c
21,"{'href': None, 'total': 498816}","['eurodance', 'europop', 'german techno', 'melbourne bounce international']",https://api.spotify.com/v1/artists/0N0d3kjwdY2h7UVuTdJGfp,0N0d3kjwdY2h7UVuTdJGfp,Cascada,66,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp
22,"{'href': None, 'total': 11797678}","['dance pop', 'pop']",https://api.spotify.com/v1/artists/07YZf4WDAMNwqr4jfgOZ8y,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,80,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
23,"{'href': None, 'total': 8466390}","['dance pop', 'pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,21E3waRsmPlU7jZsS13rcj,Ne-Yo,79,spotify:artist:21E3waRsmPlU7jZsS13rcj
24,"{'href': None, 'total': 23231110}",['pop'],https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,84,spotify:artist:5YGY8feqx7naU7z4HrwZM6
25,"{'href': None, 'total': 1175876}","['neon pop punk', 'pop punk']",https://api.spotify.com/v1/artists/0vWCyXMrrvMlCcepuOJaGI,0vWCyXMrrvMlCcepuOJaGI,BOYS LIKE GIRLS,60,spotify:artist:0vWCyXMrrvMlCcepuOJaGI
26,"{'href': None, 'total': 916205}","['dance pop', 'pop rap', 'post-teen pop']",https://api.spotify.com/v1/artists/5tKXB9uuebKE34yowVaU3C,5tKXB9uuebKE34yowVaU3C,Iyaz,64,spotify:artist:5tKXB9uuebKE34yowVaU3C
27,"{'href': None, 'total': 7641797}","['dance pop', 'pop']",https://api.spotify.com/v1/artists/6LqNN22kT3074XbTVUrhzX,6LqNN22kT3074XbTVUrhzX,Kesha,77,spotify:artist:6LqNN22kT3074XbTVUrhzX
28,"{'href': None, 'total': 73734635}","['canadian pop', 'pop']",https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,89,spotify:artist:1uNFoZAHBGtllmzznpCI3s
29,"{'href': None, 'total': 1294117}","['escape room', 'indietronica', 'new rave']",https://api.spotify.com/v1/artists/0QJIPDAEDILuo8AIq3pMuU,0QJIPDAEDILuo8AIq3pMuU,M.I.A.,66,spotify:artist:0QJIPDAEDILuo8AIq3pMuU
30,"{'href': None, 'total': 7155091}","['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",https://api.spotify.com/v1/artists/0C0XlULifJtAgn6ZNCW2eu,0C0XlULifJtAgn6ZNCW2eu,The Killers,77,spotify:artist:0C0XlULifJtAgn6ZNCW2eu
31,"{'href': None, 'total': 7976849}","['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,6FBDaR13swtiWwGhX1WQsP,blink-182,78,spotify:artist:6FBDaR13swtiWwGhX1WQsP
